word_count,sentence_count,avg_sentence_len,legal_density,char_count,unique_words,lexical_richness,year,cohort,outcome
4016,144,27.97,0.3237,23516,915,0.241,1991,A_1990_2000,1
4698,221,21.28,0.2129,27980,1011,0.2297,1991,A_1990_2000,1
8853,382,23.28,0.0904,55051,1674,0.2023,1991,A_1990_2000,0
2407,111,21.67,0.457,13981,596,0.2667,1991,A_1990_2000,0
8752,398,21.97,0.1028,51714,2190,0.2613,1991,A_1990_2000,0
4828,215,22.27,0.2486,28235,1080,0.239,1991,A_1990_2000,0
954,32,29.62,0.9434,5722,383,0.4193,1991,A_1990_2000,0
2567,113,22.55,0.3896,15372,660,0.2746,1991,A_1990_2000,0
698,34,20.44,1.0029,4033,299,0.4499,1991,A_1990_2000,1
2750,157,17.48,0.3273,16929,892,0.3455,1991,A_1990_2000,0
3516,139,25.14,0.3129,20112,959,0.2827,1991,A_1990_2000,1
8016,295,27.23,0.0749,46698,1682,0.2197,1991,A_1990_2000,1
6955,297,23.45,0.1294,41380,1346,0.2088,1991,A_1990_2000,0
5710,275,20.75,0.1226,33594,1084,0.2026,1991,A_1990_2000,1
545,28,19.07,0.7339,3255,255,0.4826,1991,A_1990_2000,1
8169,278,29.28,0.1102,48350,1556,0.1982,1991,A_1990_2000,1
3048,93,32.73,0.2297,18212,698,0.2434,1991,A_1990_2000,1
7886,413,19.02,0.0888,47410,1798,0.244,1991,A_1990_2000,0
964,30,32.07,0.4149,5637,379,0.4077,1991,A_1990_2000,1
206,26,7.77,1.4563,1192,107,0.5728,1991,A_1990_2000,0
3487,190,18.25,0.2294,20570,822,0.2518,1991,A_1990_2000,0
4157,206,20.11,0.2887,25402,980,0.2531,1991,A_1990_2000,1
16982,838,20.24,0.1119,102675,3263,0.2026,1991,A_1990_2000,1
1856,94,19.65,0.7543,10917,671,0.3793,1991,A_1990_2000,1
8472,474,17.84,0.118,50623,1754,0.2201,1991,A_1990_2000,2
1539,86,18.03,0.3899,8943,528,0.3548,1991,A_1990_2000,1
2603,118,21.95,0.4994,15603,727,0.2947,1991,A_1990_2000,1
2934,120,24.34,0.5112,17719,864,0.3108,1991,A_1990_2000,0
6026,246,24.53,0.1825,36089,1328,0.235,1991,A_1990_2000,0
3329,189,17.65,0.2704,20384,784,0.2526,1991,A_1990_2000,0
2291,124,18.43,0.4365,15007,610,0.2894,1991,A_1990_2000,1
5434,203,26.68,0.2576,32854,1006,0.1993,1991,A_1990_2000,1
5851,270,21.59,0.2564,34792,1306,0.2352,1991,A_1990_2000,2
4091,268,15.24,0.1956,25080,926,0.2462,1991,A_1990_2000,1
4422,201,21.83,0.2261,25804,878,0.2151,1991,A_1990_2000,1
1296,84,15.23,0.5401,7492,442,0.3657,1991,A_1990_2000,1
4167,197,20.97,0.24,24247,957,0.2455,1991,A_1990_2000,1
11908,525,22.51,0.1428,68613,2230,0.1977,1991,A_1990_2000,0
1568,80,19.25,0.5102,9065,526,0.361,1991,A_1990_2000,0
1929,84,22.88,0.6739,11349,599,0.3307,1991,A_1990_2000,1
1239,70,17.4,0.565,7383,396,0.3309,1991,A_1990_2000,0
17387,731,23.6,0.0863,103098,2603,0.1578,1991,A_1990_2000,2
2992,156,19.12,0.3008,17246,850,0.3025,1991,A_1990_2000,0
12352,570,21.65,0.0729,73586,1933,0.165,1991,A_1990_2000,1
4057,213,19.08,0.2465,24524,1034,0.2751,1991,A_1990_2000,1
2450,136,17.9,0.3265,15046,693,0.3106,1991,A_1990_2000,0
2260,104,21.58,0.6195,13199,668,0.315,1991,A_1990_2000,1
6194,288,21.49,0.2099,37190,1439,0.2454,1991,A_1990_2000,1
5458,212,25.73,0.2015,32977,1295,0.2547,1991,A_1990_2000,0
8259,382,21.39,0.1332,48151,1483,0.1901,1991,A_1990_2000,0
762,30,25.13,1.4436,4575,300,0.4108,1991,A_1990_2000,0
2763,131,21.05,0.2895,16058,728,0.2805,1991,A_1990_2000,1
5900,280,20.92,0.2203,33776,1285,0.2298,1991,A_1990_2000,0
2657,123,21.37,0.2635,15219,837,0.3259,1991,A_1990_2000,0
3824,183,20.91,0.2615,23924,951,0.2662,1991,A_1990_2000,0
1615,72,22.28,0.2477,9530,585,0.3796,1991,A_1990_2000,0
1797,89,19.9,0.5008,10372,597,0.3456,1991,A_1990_2000,2
4401,268,16.35,0.2045,25447,1037,0.2509,1991,A_1990_2000,0
4467,214,20.82,0.1791,26043,955,0.2266,1991,A_1990_2000,1
13266,606,21.81,0.0829,80328,2092,0.1667,1991,A_1990_2000,0
8765,435,20.14,0.1369,51871,1830,0.2241,1991,A_1990_2000,0
2769,127,21.69,0.3611,16435,641,0.247,1991,A_1990_2000,1
765,30,25.4,0.7843,4488,316,0.4248,1991,A_1990_2000,1
5573,283,19.67,0.1974,31567,1169,0.2225,1991,A_1990_2000,1
7585,370,20.48,0.1055,43562,1506,0.2095,1991,A_1990_2000,0
4224,184,22.9,0.2131,25271,1205,0.2983,1991,A_1990_2000,1
5762,285,20.2,0.1909,34234,1390,0.2575,1991,A_1990_2000,1
